uid,Advert-奖励,BuildRoomMgr-AddRoom,BuildRoomMgr-StartRoom,LBS-创建boss战,LBS-创建电站,LBS-加声望,LBS-开始BOSS战,LBS-挑战完成,LBS-赛季结算,LBS-销毁电站,NewRewardGet-无效的领取奖励码,RPC-BOSS战模式,RPC-匹配模式,RPC-团队生存模式,RPC-大球匹配模式,RPC-新手大球匹配模式,RPC-新手自由匹配模式,RPC-机器人匹配模式,RPC-自由匹配模式,RPC-闪电战模式,Redis-responseError,SHOW-增加经验,Show-增加最炫次数,VIP-宝箱领取成功,VIP-更新经验,VIP-购买卡成功,advert-奖励,advert-用户可看到广告,advert-用户点击广告,lbs-boss状态变更,lbs-上传位置不可信,lbs-生成个人特供怪,lbs-速度限制切换后台,七日签到-补签-货币数量不足,上报-统计数据,上线-已在线,下线-退出队伍-转发给队长,下线-队长下线,个推-发送结果,二级密码-验证成功,人气-增加人气,任务-增加进度,"传输数据错误:{""error"":""partial-write:",保底转盘-保底转盘抽奖成功,信息-本地安装信息,修改-验证手机成功,充值-IOS充值回调成功,充值-ios票据回调开始,充值-发起订单,充值-回调充值超时成功,充值-支付成功,充值-收到回调,充值-未注册用户,关注-关注id错误,关系-id错误,关系-添加关注,分享-已绑定创建小号,分享-是非法小号,分享-模拟器用户,分享-结算-还需玩几局,分享-设置模拟器标识,分享-超过最大被查看次数,加入-大号加入小号,匹配-加入队伍,匹配-开始游戏,匹配-新建房间,匹配-超时-开始游戏,发现-低热门推荐发现玩家,发现-发现关注,发现-标签推荐发现玩家,发现-热门推荐发现玩家,发现-相同兴趣发现玩家,发现-附近发现玩家,合成-合成道具成功,合成-完成,听众-增加听众,商店-删除材料道具时间,商店-加经验,商店-已领取完成,商店-开CD宝箱,商店-开珍宝箱,商店-开钻石宝箱,喜欢-免费,喜欢-统计,回归活动-活动时间已经结束,回归活动-游戏次数或段位不够,回归活动-设置二次回归,回归活动-设置回归,回归活动-领取奖励成功,团战生存-开始匹配,团战生存-断线重连,团战生存-队伍人数已满,团战生存-队伍已满,团战生存-队长下线,团队生存-不能拒绝自己队伍,团队生存-匹配中,团队生存-匹配加入队伍,团队生存-匹配发送同步信息,团队生存-匹配开始游戏,团队生存-匹配新建房间,团队生存-已在其它队伍,团队生存-已在房间,团队生存-收到同步信息,团队生存-未找到匹配房间,团队生存-模式错误,团队生存-重新加载数据,团队生存-队伍已解散,大奖赛-匹配,大奖赛-开始游戏,大奖赛-当前轮次结算,大奖赛-生成邀请码,大奖赛-超时领取奖励,大奖赛-重新加载数据,大球匹配-加入匹配房间,大球匹配-匹配,大球匹配-匹配开始游戏,大球匹配-匹配等待中,大球匹配-开始匹配,大球匹配-开始比赛,大球匹配-新建房间,大球模式-断线重连,宝箱-删除团队宝箱,宝箱-开启成功,宝箱-开宝箱掉落,宝箱-添加成功,宝箱-清CD成功,宝箱-获取宝箱失败,宝箱-获取宝箱失败或不在cd中,宝箱-领取失败,宝箱-领取成功,封禁-账号被封,展示-未加任何队伍,巅峰团战-不是团战或者类型不一致,巅峰团战-处理增加入场券计数,幸运轮盘-购买成功,幸运轮盘-达到日上限,幸运轮盘-领取周奖励成功,序列-不计算,序列-获取,序列-设置,强制关注-关注间隔时间未到,强制关注-获取附近的人失败,战队-创建战队,战队-删除失败,战队-加入战队,战队-开始游戏,战队-战队已解散,战队-邀请加入战队,战队-队员积分变化,房间-不能中途加入,房间-加入游戏,房间-只有邀请才能加入,房间-密码错误,房间-已解散,房间-开始游戏,房间-房间已满或重复进入-添加失败,房间-断线重连,房间-未找到邀请列表,房间-权限不够,房间-权限不够-邀请失败,房间-自建房间还未结束,"房间结束-观战房间结束,",扔棒棒糖-活动重置数据,技巧训练-单机技巧结算,技巧训练-开始检查扣分,技巧训练-技巧升级,技巧训练-技巧赛季结算,技巧训练-计算积分加成,挂机治理-扣除信誉,推送-发送成功,改名-修改成功,改名-玩家修改用户名,改密码-修改密码成功,数值-增加,数值-增加送礼积分,数值-扣除,数据-强制关注列表,数据-添加关注,数据-赛季不一致,数据预警-解析日志失败,新手匹配-设置新手匹配状态,新手大球-新手大球匹配档位,新手大球匹配-加入匹配房间,新手大球匹配-匹配,新手大球匹配-匹配等待中,新手大球匹配-开始匹配,新手大球匹配-断线重连,新手自由-新手自由匹配档位,新手自由匹配-加入匹配房间,新手自由匹配-匹配,新手自由匹配-匹配开始游戏,新手自由匹配-匹配等待中,新手自由匹配-开始匹配,新手自由匹配-开始比赛,新手自由匹配-断线重连,新手自由匹配模式-更新段位数据,新手自由匹配模式-检查分流情况,更新-添加房间,服务-未找到玩家,服务-未找到玩家所在服务器,查看-胡萝卜,梦幻挑战-抽卡产出,段位-升级,注册-创建球球号,注销-下线,注销-玩家下线,活动-十连抽,活动-球球树可浇水次数不足,活动-球球树达到重置次数,活动-球球树重置任务-蘑菇不足,活动-累计充值配置错误,游戏-断线重连,特惠礼包-生成订单,玩家-连接超时,留言-点赞,留言-点赞成功,留言-留言成功,登录-上线,登录-初始化成功,登录-发现重复登录,登录-已绑定-仅账号登录,登录-已绑定-密码错误,登录-找不到注册设备号,登录-指令回放,登录-收到初始化,登录-收到登录请求,登录-新签名错误,登录-未绑定-密码-设备号错误,登录-版本太低,登录-登录验证成功,登录-绑定服务器,登录-认证通过,登录-账号被封,登录-防沉迷中,登录-验证session失败,皮肤工坊-单次打造结果,皮肤工坊-打造结果,相册-删除照片,短信-发送成功,碎片商店-道具不足,礼物-获得礼物,离线同步-上线同步,离线同步-无效群组,签到-签到成功,签到-设置连续签到次数,签到-领取奖励成功,系统通知-上线同步,系统通知-发送成功,组队-不在邀请列表中,组队-创建队伍,组队-发送同步信息,组队-已在其它人队伍中,组队-开始匹配,组队-开始游戏,组队-收到同步信息,组队-队伍人数已满,组队-队伍已满,组队-队长已开始游戏,经验-增加,绑定-绑定成功,绑定-绑定手机成功,结算-Boss模式,结算-bigball,结算-勇者积分,结算-团队生存,结算-团队生存个人结算,结算-团队生存勋章,结算-大奖赛,结算-新手大球模式,结算-无效局,结算-更新能力值,结算-组队统计,结算-结算成功,结算-结算无效,结算-结算生存成功,结算-自由/组队,统计-结算,综合评分-赛季结算,群组-定时清除非活跃群,聊天-创建聊天群组,聊天-加入群组,聊天-加入聊天群组,聊天-没有聊天权限,聊天-离开群组中没找到该玩家,聊天-离开聊天群组,聊天-私聊,聊天-私聊发送成功,聊天-私聊权限不是互关好友无法聊天,聊天-群聊,聊天-获取查找不到该群组信息,聊天-获取群组中没找到该玩家,聊天-语音,聚宝盆-兑换,聚宝盆-初始化数据,聚宝盆-聚宝,聚宝盆-转转盘,自建房-段位不够,自由匹配-加入匹配房间,自由匹配-匹配,自由匹配-匹配-超时-开始游戏,自由匹配-匹配开始游戏,自由匹配-匹配等待中,自由匹配-开始匹配,自由匹配-开始比赛,自由匹配-收到同步信息,自由匹配-新建房间,自由匹配-获取数据,自由匹配-重新加载数据,观战-创建新的观战房间,观战-观战结束没连网关,解锁技巧-触发条件解锁,订阅-订阅成功,许愿池2-当前不是许愿状态,许愿池2-许愿成功,设备-添加本地设备,访问-显示访问,访问-隐藏访问,请求广告-不播放广告,请求广告-在不看广告冷却期,请求广告-在领奖冷却期,请求广告-概率控制,请求广告-没有玩过游戏,请求广告-玩游戏时间过长,购买-数值不足,贵族-升级,赛事-增加经验,赛事-打call券不足,赛事-打call失败,赛季-加分-赛季结束,赛季-团队生存结算,赛季-结算成功,赛季-重置,赠送-检测赠送失败,转发-未找到玩家,转发-获取玩家所在网关失败,转发-转发通知成功,转发-重复发送,送礼-初始化充值蘑菇,送礼-获取有价值人气值,送礼-送礼金钱不足或送礼功能被封,通知-回调游戏成功,通讯录-邀请过期,道具-删除成功,道具-加载皮肤,道具-批量删除,道具-批量添加,道具-添加成功,道具-激活成功,道具-购买成功,道具-超时删除,铁匠铺-加幸运值,铁匠铺-加经验,门票-数量不足,门票-购买成功,防沉迷-通知,雷达-玩家没有上传位置信息不能使用雷达,雷达-玩家通过雷达扫描到,雷达-用户打开雷达,飞船-加经验,骂人治理-骂人处理,黑卡-成功情况1,黑卡-设置活跃玩家
1100478185,,,,,,,,,1,,,,2,,,,,,,,5,,,,,,,,,,,,,1,12,,,,,,,13,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,2,2,,2,,,,,,2,,,,,,,,,,,,2,2,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,2
1100516894,,,,,,,,,,,,,3,21,15,,,,1,,67,1,,,,,,,,,,,,,204,,,,,,1,9,,,,,,,,,,,,,,6,,,,,6,,,3,,,,,,,,,,,,,2,2,,13,,,1,5,,,,,,14,,,,,,1,20,16,,1,1,,16,,2,,4,,,,,,,15,15,,15,15,,,,,10,,14,9,,,,13,,,4,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,26,,24,,6,,,,,,,,,,,,,,,,,,,,,,,,3,2,,7,7,1,,,,6,,,5,,,,7,6,,,,,,,42,,,,35,7,7,,1,,1,1,,,,,7,,1,,,,,,3,7,2,1,4,7,,,,4,,,,23,3,21,21,7,,,,3,2,5,1,,4,,,,2,,,,1,3,1,,,,,3,,,,,,,1,1,,,1,1,,1,,1,,8,,,,,1,,,,,,,,,,,,4,,,,,,,,,9,,,,,,,,4,40,,31,39,2,1,,,,,,2,,,,11,,,22
1100522842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,12,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,41,41,2,,1,,,,,,,,,,,,
1101300630,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,8,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,,,,,1,,,,,,,1,1,,,,,,,2,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,
1108886230,,,,,,1,3,,,,,,,,,,,2,,,,,,,,,,2,,,,1,2,,42,,,,,,,12,,,,,,,,,,,,,,1,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,2,,,,,,2,2,3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,8,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,15,1,,,,10,,,,,,,4,10,,,,,,,2,,,,,15,15,,,,,,,,,,14,,,,,,,,,,,,,,,,,2,,,2,,2,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,1,1,2,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,12,11,1,1,,,,,,,,,,,,,2
1109632294,,,,,,,,,,,,,,5,3,,,3,1,,24,,2,,,,,,,,,,,,146,,,,,,,7,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,2,,2,,,1,1,,,,,,5,,,,,,,4,3,,1,,,3,,,,,,,,,,,3,3,,3,3,,,,,2,,4,1,,,,2,,,4,,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,1,,,,4,,,2,,,,4,4,,,,,,,25,,,,17,8,8,,,,,,,,,,8,,,,,,,,,,,,3,,,,,4,,,,3,4,5,5,1,,,,,,2,2,,4,,,,,,,,,,,,,,,,,,1,,,,4,3,,,4,4,,3,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,25,,10,10,,,,,,,,1,,,,,,,4
1110835738,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,1,,,,,,10,,,,,,,6,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,1,,,1,,,,1,1,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
1111324842,,,,,,,,,,,,,,5,,,,,,,7,2,,,,,,,,,,,,,23,,,,,,,8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,5,,,,,,,4,4,1,,,,4,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,3,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,9,7,3,1,,,,,,,,,,,,,2
1113886720,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,16,,,,,,1,11,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,13,,,,,,4,,,,,,,4,4,,,,,4,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,16,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,,,,,,,1,1,,,,,,,4,,,,4,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,8,7,,,,,,,,,,,,,,,3
1116173562,,,,,,,,,,,,,,,9,,,,,,18,,,,1,,,,,,,,,,57,,,,,,,1,,,,,,,1,1,1,1,,,,,,,,,5,,,,,,,,,,,,,,,,2,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,2,7,9,2,,2,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,20,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,6,1,,,,5,,,5,,,,5,5,,,,,,,,,,,,6,6,,,,1,1,,,,,6,,2,,,,1,,,,,,2,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,17,,,,,,,,,,,,,,,,,3,,,,,,1,,2,12,,30,16,8,,,,,,,,,,,,,,
1116261320,,,,,,,,,,,,,,,,,,2,,,26,,,,,,1,1,1,,,,,,44,,,,,,,13,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2,,,3,1,,1,,,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,1,,,2,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,19,,99,,1,,,,,,,,,,,,,,,,,,,4,,,,,8,,,2,2,1,,,,1,,,,,,,2,1,,,,,,,2,,,,,2,2,,,,,,,,,,2,,1,,1,,,,,,,,1,,,,,2,,,,,2,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,2,,1,,2,,,,,,,1,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,14,2,2,27,23,3,,,,,,,,,,,,,,2
1118204385,,,,,,,,,,,,,2,7,5,,,,,,9,1,,,,,,,,,,,,,58,,,1,,,2,18,,,,,,,,,,,,,,5,,,,,4,,,2,,,,,,,,,,,,,,,,,,,3,17,,,,,,7,,,,1,,,7,6,,,,,6,,,,1,,,,,,,5,3,,5,5,,,,,1,,2,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,2,,2,,,,,,7,1,15,,5,,1,,,,,,,,,,,,,,,,,,,,,,,2,,4,4,1,,,,4,,,2,,,,4,4,,,,,,,15,,,,13,4,4,,,,,,,,,1,4,,,,,,,,4,2,1,2,3,,,,,2,,,,5,1,7,7,4,,,,2,1,3,1,,2,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,14,,7,3,1,1,1,,,,,1,,,,,,,7
1118681430,,,,,,,,,1,,,,,1,1,,,,,,11,,,,,,,1,,,,,,1,40,,,,,,,6,,,2,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,8,,4,1,,2,,,,,,,,,,1,,,,1,,,1,1,,,,,1,,,,,,,,,,,1,1,,1,1,,,,,1,,1,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,14,,14,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,,3,,,,,,,2,3,,,,,,,1,,,,1,3,3,,,,,,,,,,3,,1,,,,,1,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,1,1,1,1,,1,,,,,,,,,14,2,,45,47,3,1,1,8,8,,,,,,,1,,,1
1119121430,,,,,,,,,1,,,,,,,,,1,,,6,,,,,,,,,,,,,,8,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,1,,,,,,,1,1,,,,,,,1,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1
1119150555,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,24,,,,,,,5,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,1,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,1,,,,,,1,1,,1,,,,,,1,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,4,,,,,,,1,,4,3,1,,1,,,,,,,,,,,,
1119297562,,,,,,,,,1,,,,,,,,,2,,,8,,,,,,,,,,,,,,20,,,,,,,10,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,1,1,,,,,,,,,,,,,,,,,,4,,,,,,,,2,2,1,,,,2,,,2,,,,2,2,,,,,,,2,,,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,2,,4,2,,,,,,,,,,,,,,,2
1119335938,,,,,,,,,,,,,2,11,,,,,3,,31,,,,,,,,,,,,,,30,,,,,,,6,,,,,,,,,,,,,,4,,,,,8,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,11,,,,,,,8,9,2,1,,,9,1,,,1,,,,,,,,,,,,,,,,2,,1,,,,,2,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,8,,4,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,5,,,,,8,,,1,,,,4,8,,,,,,,4,,,,1,5,5,,,,,,,,,8,4,,,,,,,,1,2,,1,2,1,,,,5,,,,,3,5,5,3,,,,2,2,5,,,5,,,,1,,,,,2,,,,3,,1,3,,,,,,3,3,,,3,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,14,,2,3,,,,,,,,1,,,,2,,,8
1119572386,,,,,,,,,,,,,,18,,,,,,,36,,,,,,,,,,,,,,81,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,4,4,,,,,,15,,,,,,,17,15,,1,,,15,,5,,10,,,,,,,,,,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10,10,,,,,6,,,1,,,,10,6,,,,,,,21,,,,12,10,10,,,,,,,,,,10,,,,,,,,,,,,3,,1,,,,,,,,,14,14,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,17,,,,,,,,,17,,10,10,,,,,,,,1,,,,2,,,12
1119938362,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,2,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,1,,,,,,,1,1,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
1124510762,,,,,,,,,,,,,,,,,,7,,,19,,,,,,,,,,,,,,40,,,,,,,8,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,7,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,7,8,,,,,8,,,8,,,,7,8,,,,,,,7,,,,,8,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,6,,,,,7,,,,,,,,,4,3,,7,,,,,,,,,,,,,,,,,,,,,,7,7,,,7,7,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,
1124604155,,,,,,,,,,,,,,1,2,,,,,,15,,,,,,,,,,,,,,18,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,2,2,,2,2,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,6,,,1,,,,4,6,,,,,,,3,,,,2,5,5,,,,,,,,,,5,,,,,,,,,,,,2,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,5,,1,1,,,,,,,,,,,,,,,
1124731785,,,,,,2,3,,,,,,,,,,,,,,13,,,,,,,,1,,,,4,,35,,,,,,,7,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,4,,,2,,,,3,4,,,,,,,,,,,,4,4,,,5,,,,,,,4,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,8,9,,,,,,,,,,,,,,,
1124799042,,,,,,,,,,,,,2,2,1,,,,,,41,,,,,,,,,,,,,,58,1,,,,,,14,,,,,,,,,,,,,,3,,,,,3,,,,2,,,,,,,,,,,,,1,,2,,,,,,,,,,2,,,,,,,2,2,,,,,2,,,,,,,,,,,1,1,,1,1,,,,,2,,3,,,,,2,,,2,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,3,,,,,3,,,,,,,3,3,1,,,,,,1,,,,1,4,4,,,,,,,,,,4,,,,,,,,9,2,3,1,,1,,,,2,,,,,,2,2,1,,,,2,1,2,1,,2,,,,2,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,3,3,,,,,,,,,,,,1,,,4
